stair,階段
tablespoon,大さじ
unexpected,意外な、突然の
valuables,貴重品
microscope,顕微鏡
editor,編集者
dye,～を染める
essential,絶対必要な、本質の
efficiency,能率、有効、効率
dairy,酪農業、酪農場
chat,おしゃべりする
brush,～にブラシをかける
boarding pass,搭乗券
automaker,自動車メーカー
annual,一年間の、例年の
advertise,～を広告する
blend,～を混ぜる、混合する
charity,慈善事業、慈善
dizzy,ふらふらする、目が回る
evidence,証拠、形跡
drug,麻薬、薬
nowadays,このごろは、現今では
regulation,規則、統制
tip,チップ、心付け
transport,～を輸送する
tight,ぎっしり詰まった、厳重な
shortage,不足、欠乏
technical,専門的な、技術的な
teaspoon,小さじ
responsibility,責任
skeleton,骨組み、概略
thermometer,温度計
notice,通知、告知
complaint,クレーム
confirm,～を確認する
briefcase,書類カバン
billion,10億
baggage,手荷物
attendant,接客係、係員
amateur,アマチュア
ambassador,大使、使節
allow,～を許す
benefit,利益
category,範疇、カテゴリ
deadline,締切
employ,～を雇う
negotiation,交渉、商談
noble,気高い、荘厳な、貴族の
postmark,消印
emergency,緊急（事態）
performance,出来ばえ、実行
reliable,信頼できる、頼りになる
urban,都市の、都会的な
venture business,ベンチャービジネス、合併事業
reform,～を改善する、改革する
convention,大会、会議、集会
proposal,提案、申し込み
pile,積み重ね
annoy,～をいらいらさせる、悩ます
article,記事、品物
bank account,銀行口座
atmosphere,雰囲気、空気
agricultural,農業の、農業上の
bill,請求書、請求金額
compete,競争する <with>
container,容器、コンテナ
praise,～を称賛する、ほめる
vacant,空いている、空席の
scandal,汚職事件、不祥事
career,職業、経歴
apartment,アパート
amusing,面白い、おかしい
basement,地下室、地階
prime,主要な
bureau,案内所、事務局、部
cafeteria,カフェテリア
discount,割引
approach,～に近づく
amazing,驚くほどの
carpenter,大工
engineering,工学
toast,乾杯
outline,概要、輪郭
unlock,（ドアなどの）鍵をあける
welfare,福祉、福利、幸福
competition,競争相手、競争者
announce,～を発表する、公示する
barbershop,理髪店
attempt,試み、企て
cashier,レジ係、現金出納係
attention,注目
community,地域社会
quarter,四半期、25セント硬貨、地域
examinee,受験者
audience,聴衆、観客
bulletin board,掲示板
cafeteria,カフェ、喫茶店
newsletter,解放、社報
inconvenience,不都合、不便
therefore,従って、それゆえに
urgent,緊急の、急を要する
warning,警告、警報
undoubtedly,確かに、疑いもなく
tropical,熱帯地方の、熱帯性の
tradition,慣例、伝統
substitute,代理人、代用品
security,警備、安全
